Country Name,Indicator Code,2005
Benin,UIS.TE_100000.56.M,
Bermuda,UIS.TE_100000.56,
Bermuda,UIS.TE_100000.56.F,
Bermuda,UIS.TE_100000.56.M,
Bhutan,UIS.TE_100000.56,545.6390991
Bhutan,UIS.TE_100000.56.F,406.5254517
Bhutan,UIS.TE_100000.56.M,667.671814
Bolivia,UIS.TE_100000.56,
Bolivia,UIS.TE_100000.56.F,
Bolivia,UIS.TE_100000.56.M,
Bosnia and Herzegovina,UIS.TE_100000.56,2202.287842
Bosnia and Herzegovina,UIS.TE_100000.56.F,2447.10083
Bosnia and Herzegovina,UIS.TE_100000.56.M,1955.676147
Botswana,UIS.TE_100000.56,1054.45105
Botswana,UIS.TE_100000.56.F,984.3944702
Botswana,UIS.TE_100000.56.M,1124.774414
Brazil,UIS.TE_100000.56,2462.8396
Brazil,UIS.TE_100000.56.F,2684.134033
Brazil,UIS.TE_100000.56.M,2230.136963
British Virgin Islands,UIS.TE_100000.56,
British Virgin Islands,UIS.TE_100000.56.F,
British Virgin Islands,UIS.TE_100000.56.M,
Brunei Darussalam,UIS.TE_100000.56,1387.994629
Brunei Darussalam,UIS.TE_100000.56.F,1895.011475
Brunei Darussalam,UIS.TE_100000.56.M,906.328125
Bulgaria,UIS.TE_100000.56,3096.719482
Bulgaria,UIS.TE_100000.56.F,3143.9729
Bulgaria,UIS.TE_100000.56.M,3046.918213
Burkina Faso,UIS.TE_100000.56,208.1817017
Burkina Faso,UIS.TE_100000.56.F,126.2807083
Burkina Faso,UIS.TE_100000.56.M,292.2833252
Burundi,UIS.TE_100000.56,213.1906433
Burundi,UIS.TE_100000.56.F,116.5865479
Burundi,UIS.TE_100000.56.M,312.1151123
Cabo Verde,UIS.TE_100000.56,824.5048828
Cabo Verde,UIS.TE_100000.56.F,823.0350952
Cabo Verde,UIS.TE_100000.56.M,826.0401001
Cambodia,UIS.TE_100000.56,426.4996338
Cambodia,UIS.TE_100000.56.F,260.7464294
Cambodia,UIS.TE_100000.56.M,602.2671509
Cameroon,UIS.TE_100000.56,550.9130249
Cameroon,UIS.TE_100000.56.F,434.3654785
Cameroon,UIS.TE_100000.56.M,667.9309692
Canada,UIS.TE_100000.56,
Canada,UIS.TE_100000.56.F,
Canada,UIS.TE_100000.56.M,
Cayman Islands,UIS.TE_100000.56,
Cayman Islands,UIS.TE_100000.56.F,
Cayman Islands,UIS.TE_100000.56.M,
Central African Republic,UIS.TE_100000.56,
Central African Republic,UIS.TE_100000.56.F,
Central African Republic,UIS.TE_100000.56.M,
Chad,UIS.TE_100000.56,122.8951492
Chad,UIS.TE_100000.56.F,14.75469017
Chad,UIS.TE_100000.56.M,231.4013367
Channel Islands,UIS.TE_100000.56,
Channel Islands,UIS.TE_100000.56.F,
Channel Islands,UIS.TE_100000.56.M,
Chile,UIS.TE_100000.56,4123.201172
Chile,UIS.TE_100000.56.F,3917.213135
Chile,UIS.TE_100000.56.M,4334.83252
Colombia,UIS.TE_100000.56,2826.790039
Colombia,UIS.TE_100000.56.F,2866.343018
Colombia,UIS.TE_100000.56.M,2786.249512
Comoros,UIS.TE_100000.56,
Comoros,UIS.TE_100000.56.F,
Comoros,UIS.TE_100000.56.M,
"Congo, Dem. Rep.",UIS.TE_100000.56,
"Congo, Dem. Rep.",UIS.TE_100000.56.F,
"Congo, Dem. Rep.",UIS.TE_100000.56.M,
"Congo, Rep.",UIS.TE_100000.56,
"Congo, Rep.",UIS.TE_100000.56.F,
"Congo, Rep.",UIS.TE_100000.56.M,
Costa Rica,UIS.TE_100000.56,
Costa Rica,UIS.TE_100000.56.F,
Costa Rica,UIS.TE_100000.56.M,
Cote d'Ivoire,UIS.TE_100000.56,
Cote d'Ivoire,UIS.TE_100000.56.F,
Cote d'Ivoire,UIS.TE_100000.56.M,
Croatia,UIS.TE_100000.56,3075.748779
Croatia,UIS.TE_100000.56.F,3194.625
Croatia,UIS.TE_100000.56.M,2947.780273
Cuba,UIS.TE_100000.56,4190.176758
Cuba,UIS.TE_100000.56.F,5234.520996
Cuba,UIS.TE_100000.56.M,3157.405273
Curacao,UIS.TE_100000.56,
Curacao,UIS.TE_100000.56.F,
Curacao,UIS.TE_100000.56.M,
Cyprus,UIS.TE_100000.56,2619.73291
Cyprus,UIS.TE_100000.56.F,2687.227051
Cyprus,UIS.TE_100000.56.M,2550.31958
Czech Republic,UIS.TE_100000.56,3287.176758
Czech Republic,UIS.TE_100000.56.F,3371.362305
Czech Republic,UIS.TE_100000.56.M,3198.474854
Denmark,UIS.TE_100000.56,4286.973145
Denmark,UIS.TE_100000.56.F,4875.764648
Denmark,UIS.TE_100000.56.M,3686.484619
Djibouti,UIS.TE_100000.56,217.8811646
Djibouti,UIS.TE_100000.56.F,182.844162
Djibouti,UIS.TE_100000.56.M,252.5620575
Dominica,UIS.TE_100000.56,
Dominica,UIS.TE_100000.56.F,
Dominica,UIS.TE_100000.56.M,
Dominican Republic,UIS.TE_100000.56,
Dominican Republic,UIS.TE_100000.56.F,
Dominican Republic,UIS.TE_100000.56.M,
Ecuador,UIS.TE_100000.56,
Ecuador,UIS.TE_100000.56.F,
Ecuador,UIS.TE_100000.56.M,
"Egypt, Arab Rep.",UIS.TE_100000.56,3138.396973
"Egypt, Arab Rep.",UIS.TE_100000.56.F,2816.420898
"Egypt, Arab Rep.",UIS.TE_100000.56.M,3455.411133
El Salvador,UIS.TE_100000.56,2058.630615
El Salvador,UIS.TE_100000.56.F,2153.494385
El Salvador,UIS.TE_100000.56.M,1954.608887
Equatorial Guinea,UIS.TE_100000.56,
Equatorial Guinea,UIS.TE_100000.56.F,
Equatorial Guinea,UIS.TE_100000.56.M,
Eritrea,UIS.TE_100000.56,
Eritrea,UIS.TE_100000.56.F,
Eritrea,UIS.TE_100000.56.M,
Estonia,UIS.TE_100000.56,4998.295898
Estonia,UIS.TE_100000.56.F,5743.20459
Estonia,UIS.TE_100000.56.M,4140.244141
Ethiopia,UIS.TE_100000.56,249.5965576
Ethiopia,UIS.TE_100000.56.F,121.3199768
Ethiopia,UIS.TE_100000.56.M,378.4615173
Faroe Islands,UIS.TE_100000.56,
Faroe Islands,UIS.TE_100000.56.F,
Faroe Islands,UIS.TE_100000.56.M,
Fiji,UIS.TE_100000.56,1547.419189
Fiji,UIS.TE_100000.56.F,1675.141235
Fiji,UIS.TE_100000.56.M,1424.657837
Finland,UIS.TE_100000.56,5832.530273
Finland,UIS.TE_100000.56.F,6116.957031
Finland,UIS.TE_100000.56.M,5535.740723
France,UIS.TE_100000.56,3571.72168
France,UIS.TE_100000.56.F,3852.049561
France,UIS.TE_100000.56.M,3277.583008
French Polynesia,UIS.TE_100000.56,
French Polynesia,UIS.TE_100000.56.F,
French Polynesia,UIS.TE_100000.56.M,
Gabon,UIS.TE_100000.56,
Gabon,UIS.TE_100000.56.F,
Gabon,UIS.TE_100000.56.M,
"Gambia, The",UIS.TE_100000.56,
"Gambia, The",UIS.TE_100000.56.F,
"Gambia, The",UIS.TE_100000.56.M,
Georgia,UIS.TE_100000.56,3893.729004
Georgia,UIS.TE_100000.56.F,3715.126709
Georgia,UIS.TE_100000.56.M,4093.760498
Germany,UIS.TE_100000.56,
Germany,UIS.TE_100000.56.F,
Germany,UIS.TE_100000.56.M,
Ghana,UIS.TE_100000.56,558.9608154
Ghana,UIS.TE_100000.56.F,390.3621826
Ghana,UIS.TE_100000.56.M,727.8400879
Gibraltar,UIS.TE_100000.56,
Gibraltar,UIS.TE_100000.56.F,
Gibraltar,UIS.TE_100000.56.M,
Greece,UIS.TE_100000.56,5841.072754
Greece,UIS.TE_100000.56.F,5879.30957
Greece,UIS.TE_100000.56.M,5801.635254
Greenland,UIS.TE_100000.56,
Greenland,UIS.TE_100000.56.F,
Greenland,UIS.TE_100000.56.M,
Grenada,UIS.TE_100000.56,
Grenada,UIS.TE_100000.56.F,
Grenada,UIS.TE_100000.56.M,
Guam,UIS.TE_100000.56,
Guam,UIS.TE_100000.56.F,
Guam,UIS.TE_100000.56.M,
Guatemala,UIS.TE_100000.56,
Guatemala,UIS.TE_100000.56.F,
Guatemala,UIS.TE_100000.56.M,
Guinea,UIS.TE_100000.56,246.0227966
Guinea,UIS.TE_100000.56.F,91.71311188
Guinea,UIS.TE_100000.56.M,400.4104004
Guinea-Bissau,UIS.TE_100000.56,213.4286346
Guinea-Bissau,UIS.TE_100000.56.F,
Guinea-Bissau,UIS.TE_100000.56.M,
Guyana,UIS.TE_100000.56,980.2086182
Guyana,UIS.TE_100000.56.F,1310.211182
Guyana,UIS.TE_100000.56.M,642.9528198
Haiti,UIS.TE_100000.56,
Haiti,UIS.TE_100000.56.F,
Haiti,UIS.TE_100000.56.M,
Honduras,UIS.TE_100000.56,
Honduras,UIS.TE_100000.56.F,
Honduras,UIS.TE_100000.56.M,
"Hong Kong SAR, China",UIS.TE_100000.56,2225.718262
"Hong Kong SAR, China",UIS.TE_100000.56.F,2176.157471
"Hong Kong SAR, China",UIS.TE_100000.56.M,2279.858643
Hungary,UIS.TE_100000.56,4318.67627
Hungary,UIS.TE_100000.56.F,4801.624023
Hungary,UIS.TE_100000.56.M,3784.217773
Iceland,UIS.TE_100000.56,5111.796387
Iceland,UIS.TE_100000.56.F,6673.308594
Iceland,UIS.TE_100000.56.M,3567.646484
India,UIS.TE_100000.56,1029.19043
India,UIS.TE_100000.56.F,842.0508423
India,UIS.TE_100000.56.M,1203.115356
Indonesia,UIS.TE_100000.56,1618.633301
Indonesia,UIS.TE_100000.56.F,
Indonesia,UIS.TE_100000.56.M,
"Iran, Islamic Rep.",UIS.TE_100000.56,3032.244629
"Iran, Islamic Rep.",UIS.TE_100000.56.F,3157.022217
"Iran, Islamic Rep.",UIS.TE_100000.56.M,2912.594727
Iraq,UIS.TE_100000.56,1572.70166
Iraq,UIS.TE_100000.56.F,1150.722656
Iraq,UIS.TE_100000.56.M,1985.34668
Ireland,UIS.TE_100000.56,4438.019043
Ireland,UIS.TE_100000.56.F,4871.21582
Ireland,UIS.TE_100000.56.M,4003.844727
Isle of Man,UIS.TE_100000.56,
Isle of Man,UIS.TE_100000.56.F,
Isle of Man,UIS.TE_100000.56.M,
Israel,UIS.TE_100000.56,4708.543457
Israel,UIS.TE_100000.56.F,5203.725586
Israel,UIS.TE_100000.56.M,4200.081543
Italy,UIS.TE_100000.56,3435.200928
Italy,UIS.TE_100000.56.F,3782.968018
Italy,UIS.TE_100000.56.M,3067.897217
Jamaica,UIS.TE_100000.56,1776.885376
Jamaica,UIS.TE_100000.56.F,
Jamaica,UIS.TE_100000.56.M,
Japan,UIS.TE_100000.56,3180.297363
Japan,UIS.TE_100000.56.F,2849.950928
Japan,UIS.TE_100000.56.M,3527.000732
Jordan,UIS.TE_100000.56,4084.450195
Jordan,UIS.TE_100000.56.F,4261.622559
Jordan,UIS.TE_100000.56.M,3919.640381
Kazakhstan,UIS.TE_100000.56,
Kazakhstan,UIS.TE_100000.56.F,
Kazakhstan,UIS.TE_100000.56.M,
Kenya,UIS.TE_100000.56,321.1742249
Kenya,UIS.TE_100000.56.F,239.2524414
Kenya,UIS.TE_100000.56.M,403.1862183
Kiribati,UIS.TE_100000.56,
Kiribati,UIS.TE_100000.56.F,
Kiribati,UIS.TE_100000.56.M,
"Korea, Dem. People¡¯s Rep.",UIS.TE_100000.56,
"Korea, Dem. People¡¯s Rep.",UIS.TE_100000.56.F,
"Korea, Dem. People¡¯s Rep.",UIS.TE_100000.56.M,
"Korea, Rep.",UIS.TE_100000.56,6743.253418
"Korea, Rep.",UIS.TE_100000.56.F,4997.361328
"Korea, Rep.",UIS.TE_100000.56.M,8491.083008
Kosovo,UIS.TE_100000.56,
Kosovo,UIS.TE_100000.56.F,
Kosovo,UIS.TE_100000.56.M,
Kuwait,UIS.TE_100000.56,
Kuwait,UIS.TE_100000.56.F,
Kuwait,UIS.TE_100000.56.M,
Kyrgyz Republic,UIS.TE_100000.56,4309.672363
Kyrgyz Republic,UIS.TE_100000.56.F,4712.292969
Kyrgyz Republic,UIS.TE_100000.56.M,3898.271484
Lao PDR,UIS.TE_100000.56,825.4813232
Lao PDR,UIS.TE_100000.56.F,672.1673584
Lao PDR,UIS.TE_100000.56.M,982.2473145
Latvia,UIS.TE_100000.56,5867.678711
Latvia,UIS.TE_100000.56.F,6843.740723
Latvia,UIS.TE_100000.56.M,4714.187012
Lebanon,UIS.TE_100000.56,4156.900391
Lebanon,UIS.TE_100000.56.F,4460.79834
Lebanon,UIS.TE_100000.56.M,3862.753906
Lesotho,UIS.TE_100000.56,411.1444092
Lesotho,UIS.TE_100000.56.F,456.3877563
Lesotho,UIS.TE_100000.56.M,363.6139221
Liberia,UIS.TE_100000.56,
Liberia,UIS.TE_100000.56.F,
Liberia,UIS.TE_100000.56.M,
Libya,UIS.TE_100000.56,
Libya,UIS.TE_100000.56.F,
Libya,UIS.TE_100000.56.M,
Liechtenstein,UIS.TE_100000.56,1509.812378
Liechtenstein,UIS.TE_100000.56.F,858.7085571
Liechtenstein,UIS.TE_100000.56.M,2179.725586
Lithuania,UIS.TE_100000.56,5844.730469
Lithuania,UIS.TE_100000.56.F,6572.91748
Lithuania,UIS.TE_100000.56.M,5008.047852
Luxembourg,UIS.TE_100000.56,
Luxembourg,UIS.TE_100000.56.F,
Luxembourg,UIS.TE_100000.56.M,
"Macao SAR, China",UIS.TE_100000.56,5002.680664
"Macao SAR, China",UIS.TE_100000.56.F,4109.330566
"Macao SAR, China",UIS.TE_100000.56.M,5973.575684
"Macedonia, FYR",UIS.TE_100000.56,2416.375977
"Macedonia, FYR",UIS.TE_100000.56.F,2733.164307
"Macedonia, FYR",UIS.TE_100000.56.M,2098.013916
Madagascar,UIS.TE_100000.56,245.7464752
Madagascar,UIS.TE_100000.56.F,230.2540894
Madagascar,UIS.TE_100000.56.M,261.3686218
Malawi,UIS.TE_100000.56,45.57632828
Malawi,UIS.TE_100000.56.F,32.04761124
Malawi,UIS.TE_100000.56.M,59.2422905
Malaysia,UIS.TE_100000.56,2701.025879
Malaysia,UIS.TE_100000.56.F,
Malaysia,UIS.TE_100000.56.M,
Maldives,UIS.TE_100000.56,
Maldives,UIS.TE_100000.56.F,
Maldives,UIS.TE_100000.56.M,
Mali,UIS.TE_100000.56,
Mali,UIS.TE_100000.56.F,
Mali,UIS.TE_100000.56.M,
Malta,UIS.TE_100000.56,2377.522705
Malta,UIS.TE_100000.56.F,2649.445313
Malta,UIS.TE_100000.56.M,2099.4729
Marshall Islands,UIS.TE_100000.56,
Marshall Islands,UIS.TE_100000.56.F,
Marshall Islands,UIS.TE_100000.56.M,
Mauritania,UIS.TE_100000.56,277.6714783
Mauritania,UIS.TE_100000.56.F,136.9246216
Mauritania,UIS.TE_100000.56.M,417.2033081
Mauritius,UIS.TE_100000.56,1678.71521
Mauritius,UIS.TE_100000.56.F,1674.270142
Mauritius,UIS.TE_100000.56.M,1683.239258
Mexico,UIS.TE_100000.56,2173.032715
Mexico,UIS.TE_100000.56.F,2170.563721
Mexico,UIS.TE_100000.56.M,2175.532715
"Micronesia, Fed. Sts.",UIS.TE_100000.56,
"Micronesia, Fed. Sts.",UIS.TE_100000.56.F,
"Micronesia, Fed. Sts.",UIS.TE_100000.56.M,
Moldova,UIS.TE_100000.56,3630.983887
Moldova,UIS.TE_100000.56.F,4088.276855
Moldova,UIS.TE_100000.56.M,3133.477051
Monaco,UIS.TE_100000.56,
Monaco,UIS.TE_100000.56.F,
Monaco,UIS.TE_100000.56.M,
Mongolia,UIS.TE_100000.56,4901.112305
Mongolia,UIS.TE_100000.56.F,5990.383789
Mongolia,UIS.TE_100000.56.M,3800.930664
Montenegro,UIS.TE_100000.56,1786.371948
Montenegro,UIS.TE_100000.56.F,2114.798828
Montenegro,UIS.TE_100000.56.M,1446.428345
Morocco,UIS.TE_100000.56,1209.643555
